"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,100,"n=100, p=100","block","quantile_8","delta_mean_jaccard_2s",100,0.0521372294104178,0.0817505064636776,0.00817505064636776,0.036114130143537,0.0681603286772986
100,100,"n=100, p=100","block","quantile_8","delta_mean_support_f1",100,-0.229641759206977,0.14477375255891,0.014477375255891,-0.258017414708523,-0.20126610370543
100,100,"n=100, p=100","block","quantile_8","delta_mean_rmse",100,0.698264910031443,0.210135802024607,0.0210135802024607,0.65707829283462,0.739451527228266
100,100,"n=100, p=100","block","equal_width_4","delta_mean_entry_tau",100,-0.00693725680086958,0.0385605128233949,0.00385605128233949,-0.014495117314255,0.000620603712515821
100,100,"n=100, p=100","block","equal_width_4","delta_mean_jaccard_s",100,0.0210644910644911,0.0676704124421204,0.00676704124421204,0.00780109022583547,0.0343278919031467
100,100,"n=100, p=100","block","equal_width_4","delta_mean_jaccard_2s",100,0.0540964778914054,0.0851978395491728,0.00851978395491728,0.0373977013397676,0.0707952544430433
100,100,"n=100, p=100","block","equal_width_4","delta_mean_support_f1",100,-0.219712968191229,0.128418615413482,0.0128418615413482,-0.244883016812272,-0.194542919570187
100,100,"n=100, p=100","block","equal_width_4","delta_mean_rmse",100,0.631046987751789,0.195034209565728,0.0195034209565728,0.592820282676906,0.669273692826671
100,200,"n=100, p=200","independent","quantile_2","delta_mean_entry_tau",100,0.000136698070034567,0.0307093235656955,0.00307093235656955,-0.00588232934884176,0.00615572548891089
100,200,"n=100, p=200","independent","quantile_2","delta_mean_jaccard_s",100,0.000757575757575758,0.0349662335670583,0.00349662335670583,-0.00609580602156767,0.00761095753671918
100,200,"n=100, p=200","independent","quantile_2","delta_mean_jaccard_2s",100,-0.0077700045590006,0.0330609577773021,0.00330609577773021,-0.0142499522833518,-0.00129005683464939
100,200,"n=100, p=200","independent","quantile_2","delta_mean_support_f1",100,-0.0528916124211076,0.0700364808323195,0.00700364808323195,-0.0666187626642422,-0.039164462177973
100,200,"n=100, p=200","independent","quantile_2","delta_mean_rmse",100,0.290017541311175,0.144274975528331,0.0144274975528331,0.261739646107622,0.318295436514728
100,200,"n=100, p=200","independent","quantile_4","delta_mean_entry_tau",100,0.0110532024407786,0.0291671679890728,0.00291671679890728,0.00533643751492033,0.0167699673666369
100,200,"n=100, p=200","independent","quantile_4","delta_mean_jaccard_s",100,-0.00766246314072401,0.0400106074107961,0.00400106074107961,-0.01550454219324,0.000179615911792016
100,200,"n=100, p=200","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00842704862415584,0.033704004559849,0.0033704004559849,-0.0150330335178862,-0.00182106373042543
100,200,"n=100, p=200","independent","quantile_4","delta_mean_support_f1",100,-0.21132394018242,0.105209956503259,0.0105209956503259,-0.231945091657059,-0.190702788707781
100,200,"n=100, p=200","independent","quantile_4","delta_mean_rmse",100,0.585599697703858,0.2021740972263,0.02021740972263,0.545973574647503,0.625225820760213
100,200,"n=100, p=200","independent","quantile_8","delta_mean_entry_tau",100,0.0131057407734117,0.0314890973804069,0.00314890973804069,0.00693387768685197,0.0192776038599715
100,200,"n=100, p=200","independent","quantile_8","delta_mean_jaccard_s",100,-0.00658259614781354,0.044368248389007,0.0044368248389007,-0.0152787728320589,0.00211358053643184
100,200,"n=100, p=200","independent","quantile_8","delta_mean_jaccard_2s",100,-0.0146510472469066,0.0416438808365058,0.00416438808365058,-0.0228132478908617,-0.00648884660295144
100,200,"n=100, p=200","independent","quantile_8","delta_mean_support_f1",100,-0.317429413656867,0.117726395052821,0.0117726395052821,-0.34050378708722,-0.294355040226514
100,200,"n=100, p=200","independent","quantile_8","delta_mean_rmse",100,0.795010272594248,0.24000381679924,0.024000381679924,0.747969524501597,0.842051020686899
100,200,"n=100, p=200","independent","equal_width_4","delta_mean_entry_tau",100,0.00848892813155209,0.0296421317478833,0.00296421317478833,0.00267907030896696,0.0142987859541372
100,200,"n=100, p=200","independent","equal_width_4","delta_mean_jaccard_s",100,-0.0118833207854947,0.0468326408356887,0.00468326408356887,-0.0210625183892897,-0.00270412318169971
100,200,"n=100, p=200","independent","equal_width_4","delta_mean_jaccard_2s",100,-0.0109878860451748,0.0404697354498655,0.00404697354498655,-0.0189199541933484,-0.00305581789700112
100,200,"n=100, p=200","independent","equal_width_4","delta_mean_support_f1",100,-0.221984553554888,0.115189668813668,0.0115189668813668,-0.244561728642367,-0.199407378467409
100,200,"n=100, p=200","independent","equal_width_4","delta_mean_rmse",100,0.702754935143708,0.211205000405014,0.0211205000405014,0.661358755064325,0.744151115223091
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,0.00702327393625179,0.0292000048535642,0.00292000048535642,0.00130007298495322,0.0127464748875504
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,-0.00593763724198508,0.0403968106879018,0.00403968106879018,-0.0138554121368138,0.00198013765284368
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.000972354714136267,0.0447695895398975,0.00447695895398975,-0.00974719426395618,0.00780248483568365
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_support_f1",100,-0.084969636401287,0.0845251305646844,0.00845251305646844,-0.101536561991965,-0.0684027108106088
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_rmse",100,0.314611946647446,0.150430530244909,0.0150430530244909,0.285127562719444,0.344096330575449
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,0.0261805408287998,0.0337282296380671,0.00337282296380671,0.0195698078197386,0.0327912738378609
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.00881719608893523,0.0475769990941231,0.00475769990941231,-0.0181422879113833,0.000507895733512891
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.00303035227623997,0.0430649010220143,0.00430649010220143,-0.00541036832407484,0.0114710728765548
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_support_f1",100,-0.199992966229458,0.100322507713263,0.0100322507713263,-0.219656177741257,-0.180329754717658
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_rmse",100,0.618568894619734,0.191083072844243,0.0191083072844243,0.581116612342263,0.656021176897206
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,0.0279543730796073,0.031269152052229,0.0031269152052229,0.0218256192773704,0.0340831268818442
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00963228558880734,0.0446746920061575,0.00446746920061575,-0.0183885252220142,-0.000876045955600461
