"dimension","correlation","scheme","metric","replications","mean","ci_lower","ci_upper"
"n=500, p=100","independent","equal_width_4","delta_mean_entry_tau",100,-0.00560892071766323,-0.00601252406207119,-0.00520531737325526
"n=500, p=100","independent","equal_width_4","delta_mean_jaccard_s",100,-0.0192929292929293,-0.0260879054314583,-0.0124979531544002
"n=500, p=100","independent","equal_width_4","delta_mean_jaccard_2s",100,0.00127151324252773,-0.00913937878437952,0.011682405269435
"n=500, p=100","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,-0.0030063566021852,-0.00360425213916561,-0.0024084610652048
"n=500, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,-0.00636363636363636,-0.0119609108702128,-0.000766361857059934
"n=500, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.00138728903946295,-0.0111396592222749,0.00836508114334904
"n=500, p=100","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,-0.0066250283808667,-0.00778552571549406,-0.00546453104623934
"n=500, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.012043512043512,-0.0198413275125311,-0.00424569657449304
"n=500, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,-0.0196011310214209,-0.0303586073630519,-0.00884365467978982
"n=500, p=100","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,-0.00182128306302677,-0.00294648985225269,-0.000696076273800839
"n=500, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.016969696969697,-0.0247419403559561,-0.00919745358343789
"n=500, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00881623690319343,0.000283878369383811,0.017348595437003
"n=500, p=100","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,-0.00620183462942236,-0.00707973585963298,-0.00532393339921174
"n=500, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.0235209235209235,-0.0319987698306901,-0.0150430772111569
"n=500, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,-0.00418683677641698,-0.0148237360301909,0.00645006247735695
"n=500, p=100","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,-0.00702125688609505,-0.0106344347800612,-0.00340807899212891
"n=500, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,-0.011046731046731,-0.0243468804813947,0.00225341838793261
"n=500, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,0.0130484409310496,-0.00125636072985809,0.0273532425919573
"n=500, p=100","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,-0.00666089787384322,-0.00987232499928226,-0.00344947074840418
"n=500, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,-0.0167679542679543,-0.0309920436427025,-0.00254386489320606
