"dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,0.0338309925247765,0.0396787509745982,0.00396787509745982,0.0260539573337553,0.0416080277157978
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,0.0146406371406371,0.072541389896183,0.0072541389896183,0.000422524720985269,0.028858749560289
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.06195244610462,0.0821573915935631,0.00821573915935631,0.0458495973522816,0.0780552948569584
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.0565262995362108,0.0387326138070633,0.00387326138070633,0.0489347072300264,0.0641178918423952
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.0149436674436674,0.0726777465018633,0.00726777465018633,0.00069882912930223,0.0291885057580327
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.0694331393244437,0.0910936716373832,0.00910936716373832,0.0515787796835166,0.0872874989653708
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,0.0372148036442525,0.0445763725566067,0.00445763725566066,0.0284778346231576,0.0459517726653474
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,0.0154234654234654,0.0676547903562161,0.00676547903562161,0.00216312651364706,0.0286838043332838
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.0663899892378153,0.0907213896173533,0.00907213896173533,0.0486085968728141,0.0841713816028166
"n=100, p=100","block","quantile_2","delta_mean_entry_tau",100,-0.00819968937665736,0.0401629019517671,0.00401629019517671,-0.0160716181592037,-0.000327760594111015
"n=100, p=100","block","quantile_2","delta_mean_jaccard_s",100,0.000580808080808073,0.0610327198213381,0.00610327198213381,-0.0113816050041742,0.0125432211657903
"n=100, p=100","block","quantile_2","delta_mean_jaccard_2s",100,0.025740076348772,0.0885611729996281,0.00885611729996281,0.0083820864408449,0.0430980662566991
"n=100, p=100","block","quantile_4","delta_mean_entry_tau",100,0.0112349648861923,0.0393650477468253,0.00393650477468253,0.00351941552781458,0.0189505142445701
"n=100, p=100","block","quantile_4","delta_mean_jaccard_s",100,0.00982323232323232,0.0550171654126488,0.00550171654126488,-0.000960132097646844,0.0206065967441115
"n=100, p=100","block","quantile_4","delta_mean_jaccard_2s",100,0.0385115802072324,0.0876222173765838,0.00876222173765838,0.0213376256014219,0.0556855348130428
"n=100, p=100","block","quantile_8","delta_mean_entry_tau",100,0.0315620409033334,0.0391711754201407,0.00391711754201407,0.0238844905209858,0.0392395912856809
"n=100, p=100","block","quantile_8","delta_mean_jaccard_s",100,0.00945415695415695,0.0633892224183942,0.00633892224183942,-0.00297013063984831,0.0218784445481622
"n=100, p=100","block","quantile_8","delta_mean_jaccard_2s",100,0.0457544310761702,0.083433273369569,0.0083433273369569,0.0294015094957347,0.0621073526566057
"n=100, p=100","block","equal_width_4","delta_mean_entry_tau",100,0.00362383218397068,0.0387399571224405,0.00387399571224405,-0.00396919941202765,0.011216863779969
"n=100, p=100","block","equal_width_4","delta_mean_jaccard_s",100,0.0163888888888889,0.0587523175799822,0.00587523175799822,0.00487343464321237,0.0279043431345654
"n=100, p=100","block","equal_width_4","delta_mean_jaccard_2s",100,0.0486147861800036,0.0836831514850446,0.00836831514850446,0.0322128884889348,0.0650166838710723
"n=100, p=200","independent","quantile_2","delta_mean_entry_tau",100,0.00250802161844787,0.0300911305321203,0.00300911305321203,-0.00338983996584771,0.00840588320274344
"n=100, p=200","independent","quantile_2","delta_mean_jaccard_s",100,-0.00390708325490934,0.0277464665744948,0.00277464665744948,-0.00934539070351033,0.00153122419369164
"n=100, p=200","independent","quantile_2","delta_mean_jaccard_2s",100,-0.0095116262699927,0.0324193803099844,0.00324193803099844,-0.0158658248107496,-0.00315742772923575
"n=100, p=200","independent","quantile_4","delta_mean_entry_tau",100,0.0134035874692367,0.028472989071708,0.0028472989071708,0.00782288161118194,0.0189842933272915
"n=100, p=200","independent","quantile_4","delta_mean_jaccard_s",100,-0.0064508438421482,0.029422826132264,0.0029422826132264,-0.0122177177640719,-0.000683969920224448
"n=100, p=200","independent","quantile_4","delta_mean_jaccard_2s",100,-0.0102993468160797,0.0348880550052744,0.00348880550052744,-0.0171374055971134,-0.00346128803504588
