"path_specification","n","p","dimension","correlation","scheme","method","target","evaluated_replications","reached_target_percent","mean_selected_size"
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","glmnet","s",100,100,10.23
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","glmnet","2s",100,100,20.3
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","original","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","original","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","original","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","original","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","original","glmnet","s",100,100,10.08
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","original","glmnet","2s",100,100,20.09
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","glmnet","s",100,100,10.17
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","glmnet","2s",100,100,20.11
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","glmnet","s",100,100,10.19
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","glmnet","2s",100,100,20.19
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","glmnet","s",100,100,10.27
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","glmnet","2s",100,100,20.32
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","glmnet","s",100,100,10.22
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","glmnet","2s",100,100,20.23
"primary_controlled",100,100,"n=100, p=100","block","original","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","original","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","original","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","original","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","original","glmnet","s",100,100,10.13
"primary_controlled",100,100,"n=100, p=100","block","original","glmnet","2s",100,100,20.07
"primary_controlled",100,100,"n=100, p=100","block","quantile_2","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","quantile_2","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","quantile_2","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","quantile_2","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","quantile_2","glmnet","s",100,100,10.25
"primary_controlled",100,100,"n=100, p=100","block","quantile_2","glmnet","2s",100,100,20.17
"primary_controlled",100,100,"n=100, p=100","block","quantile_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","quantile_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","quantile_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","quantile_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","quantile_4","glmnet","s",100,100,10.2
"primary_controlled",100,100,"n=100, p=100","block","quantile_4","glmnet","2s",100,100,20.37
"primary_controlled",100,100,"n=100, p=100","block","quantile_8","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","quantile_8","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","quantile_8","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","quantile_8","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","quantile_8","glmnet","s",100,100,10.27
"primary_controlled",100,100,"n=100, p=100","block","quantile_8","glmnet","2s",100,100,20.47
"primary_controlled",100,100,"n=100, p=100","block","equal_width_4","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","equal_width_4","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","equal_width_4","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","block","equal_width_4","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","block","equal_width_4","glmnet","s",100,100,10.15
"primary_controlled",100,100,"n=100, p=100","block","equal_width_4","glmnet","2s",100,100,20.27
"primary_controlled",100,200,"n=100, p=200","independent","original","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","original","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","original","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","original","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","original","glmnet","s",100,100,20.33
"primary_controlled",100,200,"n=100, p=200","independent","original","glmnet","2s",100,100,40.32
"primary_controlled",100,200,"n=100, p=200","independent","quantile_2","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","quantile_2","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","quantile_2","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","quantile_2","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","quantile_2","glmnet","s",100,100,20.42
"primary_controlled",100,200,"n=100, p=200","independent","quantile_2","glmnet","2s",100,100,40.54
"primary_controlled",100,200,"n=100, p=200","independent","quantile_4","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","quantile_4","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","quantile_4","lar","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","quantile_4","lar","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","quantile_4","glmnet","s",100,100,20.52
"primary_controlled",100,200,"n=100, p=200","independent","quantile_4","glmnet","2s",100,100,40.55
"primary_controlled",100,200,"n=100, p=200","independent","quantile_8","lasso","s",100,100,20
"primary_controlled",100,200,"n=100, p=200","independent","quantile_8","lasso","2s",100,100,40
"primary_controlled",100,200,"n=100, p=200","independent","quantile_8","lar","s",100,100,20
