"n","p","dimension","correlation","scheme","metric","paired_difference_mean_primary","paired_difference_ci_lower_primary","paired_difference_ci_upper_primary","paired_difference_mean_sensitivity","paired_difference_ci_lower_sensitivity","paired_difference_ci_upper_sensitivity","absolute_difference","same_sign","primary_direction","sensitivity_direction","same_ci_direction"
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","A_set_s",0.00578671328671328,-0.0100312214690647,0.0216046480424912,0.00777777777777778,-0.00689108551771627,0.0224466410732718,0.0019910644910645,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","A_set_2s",0.0309782632826111,0.0142869673557439,0.0476695592094783,0.0312214121627165,0.0140605531724414,0.0483822711529917,0.000243148880105404,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","F1",-0.0725959595959596,-0.093747169119123,-0.0514447500727962,-0.0732496392496392,-0.0943471967605269,-0.0521520817387516,0.000653679653679656,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","RMSE",0.289761804837173,0.2575794483971,0.321944161277246,0.289887693878439,0.257630436598572,0.322144951158307,0.000125889041266924,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","A_entry",0.0338309925247765,0.0260539573337553,0.0416080277157978,0.0170590354406517,0.00903343247586723,0.0250846384054363,0.0167719570841248,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","A_set_s",0.0146406371406371,0.000422524720985269,0.028858749560289,0.0203593628593629,0.00710415646753415,0.0336145692511916,0.00571872571872573,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","A_set_2s",0.06195244610462,0.0458495973522816,0.0780552948569584,0.0619838502077632,0.0459455056317386,0.0780221947837879,3.14041031432358e-05,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","F1",-0.134378066378066,-0.156949936712709,-0.111806196043424,-0.134916305916306,-0.157305714830256,-0.112526897002356,0.000538239538239532,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","RMSE",0.469056758667087,0.432887822368649,0.505225694965526,0.469350916582916,0.43306305864945,0.505638774516382,0.00029415791582893,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","A_entry",0.0565262995362108,0.0489347072300264,0.0641178918423952,0.0385773479838104,0.0306177503953649,0.0465369455722559,0.0179489515524004,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","A_set_s",0.0149436674436674,0.00069882912930223,0.0291885057580327,0.0207323232323232,0.00742271744398514,0.0340419290206613,0.00578865578865579,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","A_set_2s",0.0694331393244437,0.0515787796835166,0.0872874989653708,0.0694680085614868,0.052404410646661,0.0865316064763126,3.48692370431419e-05,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","F1",-0.201580086580087,-0.228550839643154,-0.174609333517019,-0.202816738816739,-0.229994347242447,-0.175639130391031,0.00123665223665223,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","RMSE",0.695602141388327,0.648154117059689,0.743050165716964,0.695616324609403,0.648163217086886,0.743069432131921,1.41832210769355e-05,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","A_entry",0.0372148036442525,0.0284778346231576,0.0459517726653474,0.0195977115249323,0.0105870004041929,0.0286084226456717,0.0176170921193202,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","A_set_s",0.0154234654234654,0.00216312651364706,0.0286838043332838,0.020530303030303,0.00758231955169539,0.0334782865089107,0.00510683760683761,TRUE,"positive","positive",TRUE
