"path_specification","scenario_id","replication","seed","n","p","correlation","representation","scheme","abs_f1_difference","abs_rmse_difference","abs_parent_count_difference_s","abs_parent_count_difference_2s","relative_noise_sd_difference","component_dimension_difference","raw_density_difference","lambda_max_relative_difference","requested_points_difference","requested_ratio_difference","archived_returned_points","current_returned_points","archived_jerr"
"primary_controlled",1,23,20360734,100,20,"independent","sparsified","quantile_8",0,3.99680288865056e-15,0,0,9.14326392541612e-16,0,0,1.11022302462516e-16,0,0,200,200,0
"primary_controlled",1,23,20360734,100,20,"independent","sparsified","equal_width_4",0,3.99680288865056e-15,0,0,9.14326392541612e-16,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,24,20360735,100,20,"independent","original","original",0,3.10862446895044e-15,0,0,3.16426911090947e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,24,20360735,100,20,"independent","sparsified","quantile_2",0,2.22044604925031e-15,0,0,3.16426911090947e-15,0,0,1.77635683940025e-15,0,0,200,200,0
"primary_controlled",1,24,20360735,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,1.33226762955019e-15,0,0,3.16426911090947e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,24,20360735,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,4.44089209850063e-16,0,0,3.16426911090947e-15,0,0,2.44249065417534e-15,0,0,200,200,0
"primary_controlled",1,24,20360735,100,20,"independent","sparsified","equal_width_4",0,4.44089209850063e-16,0,0,3.16426911090947e-15,0,0,3.21964677141295e-15,0,0,200,200,0
"primary_controlled",1,25,20360736,100,20,"independent","original","original",0,8.88178419700125e-16,0,0,1.63261442202931e-15,0,0,3.33066907387547e-16,0,0,200,200,0
"primary_controlled",1,25,20360736,100,20,"independent","sparsified","quantile_2",0,1.33226762955019e-15,0,0,1.63261442202931e-15,0,0,3.5527136788005e-15,0,0,200,200,0
"primary_controlled",1,25,20360736,100,20,"independent","sparsified","quantile_4",0,4.44089209850063e-15,0,0,1.63261442202931e-15,0,0,1.77635683940025e-15,0,0,200,200,0
"primary_controlled",1,25,20360736,100,20,"independent","sparsified","quantile_8",0,0,0,0,1.63261442202931e-15,0,0,3.5527136788005e-15,0,0,200,200,0
"primary_controlled",1,25,20360736,100,20,"independent","sparsified","equal_width_4",0,4.44089209850063e-15,0,0,1.63261442202931e-15,0,0,2.66453525910038e-15,0,0,200,200,0
"primary_controlled",1,26,20360737,100,20,"independent","original","original",1.11022302462516e-16,6.66133814775094e-16,0,0,7.14745375913841e-16,0,0,3.77475828372553e-15,0,0,200,200,0
"primary_controlled",1,26,20360737,100,20,"independent","sparsified","quantile_2",1.11022302462516e-16,4.21884749357559e-15,0,0,7.14745375913841e-16,0,0,3.66373598126302e-15,0,0,200,200,0
"primary_controlled",1,26,20360737,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,1.77635683940025e-15,0,0,7.14745375913841e-16,0,0,3.77475828372553e-15,0,0,200,200,0
"primary_controlled",1,26,20360737,100,20,"independent","sparsified","quantile_8",0,3.10862446895044e-15,0,0,7.14745375913841e-16,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,26,20360737,100,20,"independent","sparsified","equal_width_4",0,2.66453525910038e-15,0,0,7.14745375913841e-16,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,27,20360738,100,20,"independent","original","original",0,4.44089209850063e-15,0,0,3.55228661077604e-15,0,0,3.77475828372553e-15,0,0,200,200,0
"primary_controlled",1,27,20360738,100,20,"independent","sparsified","quantile_2",0,4.44089209850063e-16,0,0,3.55228661077604e-15,0,0,1.4432899320127e-15,0,0,200,200,0
"primary_controlled",1,27,20360738,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,4.88498130835069e-15,0,0,3.55228661077604e-15,0,0,3.5527136788005e-15,0,0,200,200,0
"primary_controlled",1,27,20360738,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,2.22044604925031e-15,0,0,3.55228661077604e-15,0,0,1.11022302462516e-16,0,0,200,200,0
"primary_controlled",1,27,20360738,100,20,"independent","sparsified","equal_width_4",0,3.10862446895044e-15,0,0,3.55228661077604e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,28,20360739,100,20,"independent","original","original",0,4.88498130835069e-15,0,0,6.60835392407087e-16,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,28,20360739,100,20,"independent","sparsified","quantile_2",0,4.88498130835069e-15,0,0,6.60835392407087e-16,0,0,6.66133814775094e-16,0,0,200,200,0
"primary_controlled",1,28,20360739,100,20,"independent","sparsified","quantile_4",0,2.22044604925031e-15,0,0,6.60835392407087e-16,0,0,1.99840144432528e-15,0,0,200,200,0
"primary_controlled",1,28,20360739,100,20,"independent","sparsified","quantile_8",0,4.88498130835069e-15,0,0,6.60835392407087e-16,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,28,20360739,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,2.66453525910038e-15,0,0,6.60835392407087e-16,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,29,20360740,100,20,"independent","original","original",0,3.10862446895044e-15,0,0,3.12785443583582e-15,0,0,3.21964677141295e-15,0,0,200,200,0
"primary_controlled",1,29,20360740,100,20,"independent","sparsified","quantile_2",0,4.44089209850063e-16,0,0,3.12785443583582e-15,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,29,20360740,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,3.5527136788005e-15,0,0,3.12785443583582e-15,0,0,3.10862446895044e-15,0,0,200,200,0
"primary_controlled",1,29,20360740,100,20,"independent","sparsified","quantile_8",0,2.66453525910038e-15,0,0,3.12785443583582e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,29,20360740,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,0,0,0,3.12785443583582e-15,0,0,9.99200722162641e-16,0,0,200,200,0
"primary_controlled",1,30,20360741,100,20,"independent","original","original",0,1.11022302462516e-15,0,0,1.74701217433461e-15,0,0,3.10862446895044e-15,0,0,200,200,0
"primary_controlled",1,30,20360741,100,20,"independent","sparsified","quantile_2",0,3.77475828372553e-15,0,0,1.74701217433461e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,30,20360741,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,6.66133814775094e-16,0,0,1.74701217433461e-15,0,0,1.33226762955019e-15,0,0,200,200,0
