"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","path_specification","group_weight_specification","lambda_scale_relative_error","max_training_prediction_rms_over_sd_y","f1_difference_group_minus_glmnet_s","rmse_difference_group_minus_glmnet_s","f1_difference_group_minus_glmnet_2s","rmse_difference_group_minus_glmnet_2s","entry_order_tau_glmnet_vs_group","active_set_jaccard_s_glmnet_vs_group","active_set_jaccard_2s_glmnet_vs_group"
1,49,20360760,100,20,"n=100, p=20","independent",5,3,1.66883374711419,"primary_controlled","sqrt_group_size",1.66533453693773e-15,3.88812245278425e-05,0,-2.09903556935842e-06,0,1.07073565192017e-06,1,1,1
1,50,20360761,100,20,"n=100, p=20","independent",5,3,1.31342986506558,"primary_controlled","equal_parent",1.66533453693773e-15,5.03223382495708e-05,0,-7.86321344925511e-07,0,3.73681401466541e-06,1,1,1
1,50,20360761,100,20,"n=100, p=20","independent",5,3,1.31342986506558,"primary_controlled","sqrt_group_size",1.66533453693773e-15,5.03223382495708e-05,0,-7.86321344925511e-07,0,3.73681401466541e-06,1,1,1
1,51,20360762,100,20,"n=100, p=20","independent",5,3,1.75136077987629,"primary_controlled","equal_parent",6.66133814775094e-16,2.16730180499668e-05,0,-9.71561963325485e-07,0,2.00485568147002e-07,1,1,1
1,51,20360762,100,20,"n=100, p=20","independent",5,3,1.75136077987629,"primary_controlled","sqrt_group_size",6.66133814775094e-16,2.16730180499668e-05,0,-9.71561963325485e-07,0,2.00485568147002e-07,1,1,1
1,52,20360763,100,20,"n=100, p=20","independent",5,3,1.49139304548186,"primary_controlled","equal_parent",2.44249065417534e-15,3.28986642791409e-05,0,-2.30968550951616e-08,0,-5.56345395841262e-06,1,1,1
1,52,20360763,100,20,"n=100, p=20","independent",5,3,1.49139304548186,"primary_controlled","sqrt_group_size",2.44249065417534e-15,3.28986642791409e-05,0,-2.30968550951616e-08,0,-5.56345395841262e-06,1,1,1
1,53,20360764,100,20,"n=100, p=20","independent",5,3,1.16485458879013,"primary_controlled","equal_parent",1.77635683940025e-15,3.89973426283189e-05,0,2.1192902099898e-08,0,8.78958050787304e-08,1,1,1
1,53,20360764,100,20,"n=100, p=20","independent",5,3,1.16485458879013,"primary_controlled","sqrt_group_size",1.77635683940025e-15,3.89973426283189e-05,0,2.1192902099898e-08,0,8.78958050787304e-08,1,1,1
1,54,20360765,100,20,"n=100, p=20","independent",5,3,1.21750705519516,"primary_controlled","equal_parent",1.11022302462516e-15,2.80552441387701e-05,0,-3.66999767464904e-07,0,-8.00963989799897e-07,1,1,1
