"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"user_knowledge_modeling","original","kmeans",5,"purity",30,0.462448304383788,0.00506790904217055,0.000925269367260404,0.46055591604691,0.464340692720667,0.459057071960298,0.471464019851117,0.95
"user_knowledge_modeling","original","kmeans",5,"silhouette",30,0.182259128008739,0.000309342357402093,5.64779290469839e-05,0.182143617674126,0.182374638343352,0.181411092497853,0.182436221743452,0.95
"user_knowledge_modeling","original","kmeans",5,"normalized_mutual_information",30,0.197857109500819,0.0037113275035619,0.000677592597330062,0.19647127703547,0.199242941966168,0.183794554634433,0.201935519978625,0.95
"user_knowledge_modeling","original","kmeans",5,"davies_bouldin",30,1.46206375588192,0.00522963511197904,0.000954796372783992,1.4601109780381,1.46401653372573,1.45708707724099,1.47187391481817,0.95
"user_knowledge_modeling","original","kmeans",5,"calinski_harabasz",30,79.6884000824061,0.0106486313023744,0.00194416519028869,79.6844238181298,79.6923763466825,79.63642678889,79.6926717209739,0.95
"user_knowledge_modeling","original","kmeans",5,"total_withinss",30,1116.11577864941,0.0663432493739178,0.0121125647400951,1116.09100567296,1116.14055162585,1116.08916859847,1116.43959626197,0.95
"user_knowledge_modeling","original","kmeans",5,"runtime_sec",30,0.0166666666666705,0.00758098043579593,0.00138409133089692,0.0138358820493012,0.0194974512840397,0.00999999999999091,0.0300000000000864,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"adjusted_rand_index",30,0.430231299801155,0.0127957637919427,0.00233617615645162,0.425453283076736,0.435009316525573,0.393249719280232,0.435089535829713,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"clustering_accuracy",30,0.650868486352357,0.0163969947776017,0.00299366797166228,0.64474574787801,0.656991224826704,0.60545905707196,0.657568238213399,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"purity",30,0.728701406120761,0.00453037681972844,0.000827129859387927,0.727009735614448,0.730393076627074,0.727047146401985,0.744416873449132,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"silhouette",30,0.11848153501612,0.00121537978601534,0.000221896974912134,0.11802770474553,0.11893536528671,0.118092888037872,0.122885277272611,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"normalized_mutual_information",30,0.509856367582992,0.00353536790013658,0.000645466915994826,0.508536239513384,0.511176495652601,0.504341714188959,0.521463520820006,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"davies_bouldin",30,2.38431058151482,0.020099731746957,0.0036696921592037,2.37680521833332,2.39181594469633,2.31356419011511,2.39142461565677,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"calinski_harabasz",30,30.2074959313393,0.26261686203937,0.0479470597733951,30.1094331834376,30.3055586792409,29.5344933247904,30.3203882846728,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"total_withinss",30,6167.59406789392,12.5361685198696,2.28878076100624,6162.91298563717,6172.27515015067,6162.20618787393,6199.73760028943,0.95
"user_knowledge_modeling","sparsified","kmeans",5,"runtime_sec",30,0.0263333333333586,0.0106619961038987,0.00194660525804583,0.0223520785580719,0.0303145881086454,0.00999999999999091,0.0500000000000682,0.95
"vehicle_silhouettes","original","kmeans",4,"adjusted_rand_index",30,0.0750530370881293,0.00171108611284078,0.000312400153945575,0.074414107033073,0.0756919671431856,0.0713641621664159,0.0761244520806915,0.95
"vehicle_silhouettes","original","kmeans",4,"clustering_accuracy",30,0.360874704491726,0.00515843734151486,0.000941797497808224,0.358948512332322,0.36280089665113,0.355791962174941,0.373522458628842,0.95
"vehicle_silhouettes","original","kmeans",4,"purity",30,0.36816390858944,0.00218911925049564,0.000399676664855088,0.36734647802721,0.368981339151671,0.366430260047281,0.373522458628842,0.95
"vehicle_silhouettes","original","kmeans",4,"silhouette",30,0.297237128156582,0.02045001468987,0.00373364478231794,0.289600967174592,0.304873289138573,0.245994971229242,0.305389094559658,0.95
"vehicle_silhouettes","original","kmeans",4,"normalized_mutual_information",30,0.113849971223032,0.00706661159906122,0.00129018085931116,0.111211255085857,0.116488687360208,0.0962758020033971,0.117064874760899,0.95
"vehicle_silhouettes","original","kmeans",4,"davies_bouldin",30,1.13421628742754,0.169094955905513,0.0308723739032637,1.07107519319758,1.1973573816575,1.06835040952416,1.55805879384586,0.95
"vehicle_silhouettes","original","kmeans",4,"calinski_harabasz",30,424.090374806018,25.5906951467407,4.67220033136929,414.534652194319,433.646097417717,359.94330559651,433.9752360232,0.95
"vehicle_silhouettes","original","kmeans",4,"total_withinss",30,6065.69776803807,238.632540751567,43.568141841468,5976.59091289126,6154.80462318488,5973.53721343796,6663.86754005481,0.95
"vehicle_silhouettes","original","kmeans",4,"runtime_sec",30,0.0380000000000071,0.00886683086873827,0.00161885442679703,0.0346890709400241,0.0413109290599901,0.0299999999999727,0.0500000000000682,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"adjusted_rand_index",30,0.12015079256137,0,0,0.12015079256137,0.12015079256137,0.12015079256137,0.12015079256137,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"clustering_accuracy",30,0.449172576832151,0,0,0.449172576832151,0.449172576832151,0.449172576832151,0.449172576832151,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"purity",30,0.449172576832151,0,0,0.449172576832151,0.449172576832151,0.449172576832151,0.449172576832151,0.95
"vehicle_silhouettes","sparsified","kmeans",4,"silhouette",30,0.164645437655601,0,0,0.164645437655601,0.164645437655601,0.164645437655601,0.164645437655601,0.95
