"dataset","representation","method","k","n_used","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","runtime_sec"
"statlog_image_segmentation","sparsified","kmeans",8,2310,0.188248877405907,1.90095733203931,276.287305929905,0.461799111124077,0.592943215679918,0.611688311688312,0.617316017316017,0.800000000000011
"vertebral_column_3classes","original","kmeans",2,310,0.362901784727651,1.13086105904364,189.338916000659,0.293468522886823,0.329908685686891,0.658064516129032,0.658064516129032,0
"vertebral_column_3classes","original","kmeans",3,310,0.295131105194198,1.298552774954,153.595924480553,0.211391479326811,0.303127128830606,0.467741935483871,0.667741935483871,0.0300000000000011
"vertebral_column_3classes","original","kmeans",4,310,0.269401236443384,1.36251713657341,125.626584852747,0.181374784135054,0.297088849734359,0.432258064516129,0.67741935483871,0.0100000000000051
"vertebral_column_3classes","original","kmeans",5,310,0.231711325697565,1.13664000703363,123.090059316694,0.176075833544238,0.301562978484034,0.425806451612903,0.658064516129032,0.0100000000000051
"vertebral_column_3classes","sparsified","kmeans",2,310,0.131109289559502,2.48914907576522,46.8436435366002,0.328314840546909,0.308031575198391,0.664516129032258,0.664516129032258,0
"vertebral_column_3classes","sparsified","kmeans",3,310,0.125255540687928,2.44473887685789,39.8274923325522,0.214773224181461,0.291859820456164,0.474193548387097,0.661290322580645,0.0100000000000051
"vertebral_column_3classes","sparsified","kmeans",4,310,0.132689087700053,2.33282453235935,37.4343254566737,0.19535199469181,0.255318279645544,0.461290322580645,0.654838709677419,0.019999999999996
"vertebral_column_3classes","sparsified","kmeans",5,310,0.132684074658804,2.21339975010049,33.3197635915931,0.11444419244396,0.235766358590564,0.374193548387097,0.632258064516129,0.0300000000000011
"vertebral_column_2classes","original","kmeans",2,310,0.362901784727651,1.13086105904364,189.338916000659,0.101851901452218,0.160871796150058,0.664516129032258,0.67741935483871,0.0200000000000102
"vertebral_column_2classes","original","kmeans",3,310,0.295131105194198,1.298552774954,153.595924480553,0.0444987879743002,0.148139065999521,0.496774193548387,0.696774193548387,0.019999999999996
"vertebral_column_2classes","original","kmeans",4,310,0.300090550332905,0.999206984931717,134.447998973901,0.0434798313079601,0.149032646354811,0.490322580645161,0.696774193548387,0.019999999999996
"vertebral_column_2classes","sparsified","kmeans",2,310,0.131109289559502,2.48914907576522,46.8436435366002,0.127615996358667,0.137800384607136,0.680645161290323,0.680645161290323,0
"vertebral_column_2classes","sparsified","kmeans",3,310,0.125255540687928,2.44473887685789,39.8274923325522,0.0411039795707566,0.119892111533186,0.470967741935484,0.687096774193548,0.019999999999996
"vertebral_column_2classes","sparsified","kmeans",4,310,0.132689087700053,2.33282453235935,37.4343254566737,0.0582142313241352,0.10244422569971,0.374193548387097,0.683870967741935,0.0100000000000051
"user_knowledge_modeling","original","kmeans",2,403,0.181840257625335,2.02613079750052,90.9492876836158,0.327958821016604,0.444690037365003,0.563275434243176,0.563275434243176,0
"user_knowledge_modeling","original","kmeans",3,403,0.172898431349314,1.74841689562402,83.4333423776045,0.241993522868354,0.326870617512057,0.543424317617866,0.543424317617866,0.0200000000000102
"user_knowledge_modeling","original","kmeans",4,403,0.173784716818244,1.55958074080882,80.2196800546031,0.110347106860286,0.197310170900176,0.392059553349876,0.45409429280397,0.0100000000000051
"user_knowledge_modeling","original","kmeans",5,403,0.182436221743452,1.47187391481817,79.6875356376997,0.105742700805764,0.201935519978625,0.387096774193548,0.471464019851117,0.019999999999996
"user_knowledge_modeling","original","kmeans",6,403,0.174956313016865,1.40639703560102,76.0165812642787,0.119572910495789,0.248193044927624,0.339950372208437,0.498759305210918,0.0400000000000063
"user_knowledge_modeling","original","kmeans",7,403,0.186828192019949,1.39576902107806,73.054149933814,0.134823957142957,0.276638154704235,0.334987593052109,0.535980148883375,0.0299999999999869
"user_knowledge_modeling","sparsified","kmeans",2,403,0.0670922908303946,3.12282190508281,30.608161667785,0.174540676684319,0.342495967204732,0.429280397022333,0.429280397022333,0.0100000000000051
"user_knowledge_modeling","sparsified","kmeans",3,403,0.0850378198821169,2.88829650811955,31.5656775837858,0.372455289306721,0.509419442273739,0.493796526054591,0.573200992555831,0.019999999999996
