"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"user_knowledge_modeling","kmeans",5,"total_withinss","sparsified_minus_original",30,5051.47828924451,12.539071906001,2.28931084436535,5046.79612284556,5056.16045564346,5045.76659161196,5083.64843169096,0.95
"user_knowledge_modeling","kmeans",5,"runtime_sec","sparsified_minus_original",30,0.0163333333333336,0.0160781139169199,0.00293544855814493,0.0103296669292599,0.0223369997374074,-0.00999999999999091,0.0499999999999545,0.95
"banknote_authentication","kmeans",2,"adjusted_rand_index","sparsified_minus_original",30,0.0104075262892254,0,0,0.0104075262892254,0.0104075262892254,0.0104075262892254,0.0104075262892254,0.95
"banknote_authentication","kmeans",2,"clustering_accuracy","sparsified_minus_original",30,0.0189504373177842,0,0,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.95
"banknote_authentication","kmeans",2,"purity","sparsified_minus_original",30,0.0189504373177842,0,0,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.0189504373177842,0.95
"banknote_authentication","kmeans",2,"silhouette","sparsified_minus_original",30,-0.189088667197169,0.00243499861853368,0.000444567890288272,-0.189997910624327,-0.188179423770011,-0.194835458276316,-0.184162130760189,0.95
"banknote_authentication","kmeans",2,"normalized_mutual_information","sparsified_minus_original",30,0.00727655291642227,0,0,0.00727655291642227,0.00727655291642227,0.00727655291642227,0.00727655291642227,0.95
"banknote_authentication","kmeans",2,"davies_bouldin","sparsified_minus_original",30,1.29269308810165,0,0,1.29269308810165,1.29269308810165,1.29269308810165,1.29269308810165,0.95
"banknote_authentication","kmeans",2,"calinski_harabasz","sparsified_minus_original",30,-597.467696616202,0,0,-597.467696616202,-597.467696616202,-597.467696616202,-597.467696616202,0.95
"banknote_authentication","kmeans",2,"total_withinss","sparsified_minus_original",30,15572.6682950337,0,0,15572.6682950337,15572.6682950337,15572.6682950337,15572.6682950337,0.95
"banknote_authentication","kmeans",2,"runtime_sec","sparsified_minus_original",30,0.0209999999999885,0.0151657508880914,0.00276887462097055,0.0153370155498306,0.0266629844501464,-0.00999999999987722,0.0500000000000682,0.95
"wine","kmeans",3,"adjusted_rand_index","sparsified_minus_original",30,0.0173846145576322,0,0,0.0173846145576322,0.0173846145576322,0.0173846145576322,0.0173846145576322,0.95
"wine","kmeans",3,"clustering_accuracy","sparsified_minus_original",30,0.0056179775280899,0,0,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.95
"wine","kmeans",3,"purity","sparsified_minus_original",30,0.0056179775280899,0,0,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.0056179775280899,0.95
"wine","kmeans",3,"silhouette","sparsified_minus_original",30,-0.168198580777217,0,0,-0.168198580777217,-0.168198580777217,-0.168198580777217,-0.168198580777217,0.95
"wine","kmeans",3,"normalized_mutual_information","sparsified_minus_original",30,0.016691251811252,1.34092805284488e-16,2.4481884751154e-17,0.016691251811252,0.0166912518112521,0.0166912518112519,0.0166912518112522,0.95
"wine","kmeans",3,"davies_bouldin","sparsified_minus_original",30,1.25201205292289,0,0,1.25201205292289,1.25201205292289,1.25201205292289,1.25201205292289,0.95
"wine","kmeans",3,"calinski_harabasz","sparsified_minus_original",30,-51.1891340691691,7.22689645322714e-15,1.31944473606219e-15,-51.1891340691691,-51.1891340691691,-51.1891340691692,-51.1891340691691,0.95
"wine","kmeans",3,"total_withinss","sparsified_minus_original",30,6238.28060593541,0,0,6238.28060593541,6238.28060593541,6238.28060593541,6238.28060593541,0.95
"wine","kmeans",3,"runtime_sec","sparsified_minus_original",30,0.018333333333347,0.0114721050989921,0.00209451024826267,0.0140495788878494,0.0226170877788445,-0.00999999999999091,0.0500000000000682,0.95
