"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"libras_movement","original","kmeans",15,13,43233230,53233230,360,90,30,100,"Hartigan-Wong",360,0.255210962447655,1.28799408846726,53.6094124267761,0.316351980725314,0.602308100764239,0.458333333333333,0.466666666666667,10174.9216816926,4,0,0.129999999999995
"libras_movement","sparsified","kmeans",15,13,43233230,53233230,360,360,30,100,"Hartigan-Wong",360,0.109832088906663,2.21522238450867,14.8366042160084,0.266378314454294,0.544437316002503,0.405555555555556,0.45,80670.8791741825,4,0,0.629999999999995
"libras_movement","original","kmeans",15,14,43233231,53233231,360,90,30,100,"Hartigan-Wong",360,0.254021913567046,1.27391933504255,53.1159189318157,0.320592518308095,0.594080571770033,0.455555555555556,0.469444444444444,10239.4964848868,6,0,0.139999999999986
"libras_movement","sparsified","kmeans",15,14,43233231,53233231,360,360,30,100,"Hartigan-Wong",360,0.110138696004484,2.31212787029544,14.7357338763591,0.265667694478122,0.542554484349452,0.427777777777778,0.452777777777778,80877.5218897164,4,0,0.620000000000005
"libras_movement","original","kmeans",15,15,43233232,53233232,360,90,30,100,"Hartigan-Wong",360,0.257830791027319,1.23431312246047,52.6061676136042,0.306731199774896,0.591271620474755,0.441666666666667,0.475,10307.0649344232,5,0,0.160000000000025
"libras_movement","sparsified","kmeans",15,15,43233232,53233232,360,360,30,100,"Hartigan-Wong",360,0.108532108043086,2.25772886611567,15.0208413806892,0.264916437840626,0.537867015726416,0.419444444444444,0.447222222222222,80296.164394558,4,0,0.629999999999995
"libras_movement","original","kmeans",15,16,43233233,53233233,360,90,30,100,"Hartigan-Wong",360,0.247548313810692,1.32792281888977,53.230717627319,0.315601611779484,0.5942402120381,0.458333333333333,0.472222222222222,10224.4017516279,5,0,0.120000000000005
"libras_movement","sparsified","kmeans",15,16,43233233,53233233,360,360,30,100,"Hartigan-Wong",360,0.107746942245943,2.3459260385516,14.6871391486401,0.293553336038094,0.561412379927271,0.461111111111111,0.477777777777778,80977.451244545,3,0,0.610000000000014
"libras_movement","original","kmeans",15,17,43233234,53233234,360,90,30,100,"Hartigan-Wong",360,0.249806992848056,1.29687170488173,53.2901382629078,0.314103500608729,0.592811999320864,0.472222222222222,0.483333333333333,10216.6060747463,4,0,0.120000000000005
"libras_movement","sparsified","kmeans",15,17,43233234,53233234,360,360,30,100,"Hartigan-Wong",360,0.108221658511117,2.26350446263941,14.8378030667275,0.278846846944868,0.550585064218431,0.441666666666667,0.472222222222222,80668.4295611064,4,0,0.730000000000018
"libras_movement","original","kmeans",15,18,43233235,53233235,360,90,30,100,"Hartigan-Wong",360,0.255704225196653,1.2854385844308,53.392878349489,0.31046975748627,0.594011923367823,0.441666666666667,0.452777777777778,10203.1551219737,5,0,0.139999999999986
"libras_movement","sparsified","kmeans",15,18,43233235,53233235,360,360,30,100,"Hartigan-Wong",360,0.101750860257088,2.28066553092568,14.6125409909831,0.290136959686493,0.562046416885549,0.45,0.458333333333333,81131.3350149756,5,0,0.830000000000041
"libras_movement","original","kmeans",15,19,43233236,53233236,360,90,30,100,"Hartigan-Wong",360,0.245496539580887,1.31975927655804,52.8594034246681,0.316467106680679,0.600991538659182,0.458333333333333,0.466666666666667,10273.3869754935,5,0,0.21999999999997
"libras_movement","sparsified","kmeans",15,19,43233236,53233236,360,360,30,100,"Hartigan-Wong",360,0.105761630366159,2.262268200656,14.6190881297914,0.284434831053828,0.558806705283533,0.458333333333333,0.477777777777778,81117.8059320857,4,0,0.95999999999998
"libras_movement","original","kmeans",15,20,43233237,53233237,360,90,30,100,"Hartigan-Wong",360,0.254231709753769,1.28320461617572,53.3927672230472,0.309142820828197,0.590644462717462,0.444444444444444,0.452777777777778,10203.169651752,4,0,0.230000000000018
"libras_movement","sparsified","kmeans",15,20,43233237,53233237,360,360,30,100,"Hartigan-Wong",360,0.10995364187126,2.28131685901155,14.7720515800874,0.263262773641204,0.54743021742624,0.408333333333333,0.444444444444444,80802.9996854685,4,0,1.07999999999998
"libras_movement","original","kmeans",15,21,43233238,53233238,360,90,30,100,"Hartigan-Wong",360,0.256136862631616,1.26242731343023,53.3825780889802,0.313627350703271,0.597989576693284,0.452777777777778,0.463888888888889,10204.50205654,4,0,0.230000000000018
"libras_movement","sparsified","kmeans",15,21,43233238,53233238,360,360,30,100,"Hartigan-Wong",360,0.105491496648755,2.28159173901495,14.6540607587277,0.265211785922596,0.537911621793109,0.402777777777778,0.430555555555556,81045.6144453612,5,0,0.939999999999998
"libras_movement","original","kmeans",15,22,43233239,53233239,360,90,30,100,"Hartigan-Wong",360,0.258336138351371,1.26506900687794,53.2554053133978,0.303100959391653,0.592641295764592,0.436111111111111,0.461111111111111,10221.1614120769,4,0,0.189999999999998
"libras_movement","sparsified","kmeans",15,22,43233239,53233239,360,360,30,100,"Hartigan-Wong",360,0.112694966861461,2.23533437170573,15.1441432227132,0.293952386267052,0.570374834046857,0.458333333333333,0.483333333333333,80047.322690324,4,0,0.939999999999998
"libras_movement","original","kmeans",15,23,43233240,53233240,360,90,30,100,"Hartigan-Wong",360,0.255827480705311,1.27149250220686,52.6347095772722,0.304338402054569,0.590043715671048,0.436111111111111,0.458333333333333,10303.2580874252,4,0,0.189999999999998
"libras_movement","sparsified","kmeans",15,23,43233240,53233240,360,360,30,100,"Hartigan-Wong",360,0.108767188447249,2.28479050599459,14.679985028452,0.303929619562458,0.565692169904772,0.45,0.486111111111111,80992.1837101231,4,0,1.25
"libras_movement","original","kmeans",15,24,43233241,53233241,360,90,30,100,"Hartigan-Wong",360,0.254204298914488,1.30528330749957,53.4704612061562,0.311331460067005,0.602181241309771,0.455555555555556,0.477777777777778,10193.0212557123,5,0,0.240000000000009
"libras_movement","sparsified","kmeans",15,24,43233241,53233241,360,360,30,100,"Hartigan-Wong",360,0.109917786646744,2.29634662921972,14.8449737965079,0.285449434428233,0.554281114220158,0.466666666666667,0.483333333333333,80653.7807060938,5,0,0.970000000000027
"libras_movement","original","kmeans",15,25,43233242,53233242,360,90,30,100,"Hartigan-Wong",360,0.257230835724059,1.27719000036073,53.5828581824908,0.31776882517783,0.602879723362399,0.452777777777778,0.461111111111111,10178.3756271732,5,0,0.220000000000027
