"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"housing_years","sparsified","kmeans",3,27,40093044,50093044,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0.0199999999999818
"housing_years","original","kmeans",3,28,40093045,50093045,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,28,40093045,50093045,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,29,40093046,50093046,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,29,40093046,50093046,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,30,40093047,50093047,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,30,40093047,50093047,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",4,1,40093118,50093118,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
"housing_years","sparsified","kmeans",4,1,40093118,50093118,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,2,0,0
"housing_years","original","kmeans",4,2,40093119,50093119,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
"housing_years","sparsified","kmeans",4,2,40093119,50093119,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,2,0,0.00999999999999091
"housing_years","original","kmeans",4,3,40093120,50093120,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
"housing_years","sparsified","kmeans",4,3,40093120,50093120,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,2,0,0.0200000000000955
"housing_years","original","kmeans",4,4,40093121,50093121,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0.0199999999999818
"housing_years","sparsified","kmeans",4,4,40093121,50093121,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,3,0,0.00999999999999091
"housing_years","original","kmeans",4,5,40093122,50093122,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
"housing_years","sparsified","kmeans",4,5,40093122,50093122,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,3,0,0
"housing_years","original","kmeans",4,6,40093123,50093123,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
"housing_years","sparsified","kmeans",4,6,40093123,50093123,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,2,0,0
"housing_years","original","kmeans",4,7,40093124,50093124,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
"housing_years","sparsified","kmeans",4,7,40093124,50093124,27,28,30,100,"Hartigan-Wong",27,0.675924163706872,0.550581214556078,39.9853033762001,NA,NA,NA,NA,117.12702178551,4,0,0
"housing_years","original","kmeans",4,8,40093125,50093125,27,7,30,100,"Hartigan-Wong",27,0.576943468633088,0.48737560023627,156.242355848672,NA,NA,NA,NA,8.51285250757173,2,0,0
